"module","bicor_r","p_raw","FDR","direction"
"paleturquoise",-0.198,0.0506,0.152,"DOWN in cases"
"saddlebrown",-0.178,0.079,0.198,"DOWN in cases"
"salmon",-0.167,0.101,0.243,"DOWN in cases"
"green",-0.148,0.147,0.321,"DOWN in cases"
"skyblue3",-0.139,0.174,0.36,"DOWN in cases"
"floralwhite",-0.109,0.286,0.508,"DOWN in cases"
"lightyellow",-0.078,0.443,0.701,"DOWN in cases"
"blue",-0.076,0.458,0.72,"DOWN in cases"
"lightcyan1",-0.048,0.635,0.828,"DOWN in cases"
"lightgreen",-0.04,0.695,0.875,"DOWN in cases"
"yellowgreen",-0.038,0.711,0.882,"DOWN in cases"
"steelblue",-0.037,0.72,0.883,"DOWN in cases"
"darkgrey",-0.027,0.791,0.908,"DOWN in cases"
"white",-0.004,0.965,0.976,"DOWN in cases"
"darkolivegreen",0.006,0.951,0.976,"UP in cases"
"midnightblue",0.006,0.957,0.976,"UP in cases"
"plum1",0.008,0.935,0.976,"UP in cases"
"darkred",0.014,0.888,0.954,"UP in cases"
"brown",0.015,0.885,0.954,"UP in cases"
"orangered4",0.021,0.839,0.919,"UP in cases"
"orange",0.021,0.834,0.919,"UP in cases"
"lightcyan",0.051,0.619,0.819,"UP in cases"
"red",0.061,0.551,0.777,"UP in cases"
"ivory",0.062,0.547,0.777,"UP in cases"
"darkgreen",0.066,0.515,0.76,"UP in cases"
"darkorange",0.081,0.429,0.683,"UP in cases"
"greenyellow",0.093,0.361,0.597,"UP in cases"
"pink",0.094,0.36,0.597,"UP in cases"
"royalblue",0.097,0.342,0.58,"UP in cases"
"skyblue",0.111,0.277,0.5,"UP in cases"
"tan",0.114,0.262,0.48,"UP in cases"
"grey60",0.123,0.229,0.441,"UP in cases"
"mediumpurple3",0.135,0.185,0.377,"UP in cases"
"cyan",0.137,0.178,0.364,"UP in cases"
"purple",0.195,0.0545,0.16,"UP in cases"
"lightsteelblue1",0.223,0.027,0.0869,"UP in cases"
"turquoise",0.241,0.0166,0.0596,"UP in cases"
"darkmagenta",0.257,0.0107,0.0393,"UP in cases"
"violet",0.259,0.01,0.0379,"UP in cases"
"magenta",0.267,0.00778,0.0314,"UP in cases"
"black",0.27,0.00717,0.0303,"UP in cases"
"sienna3",0.295,0.00324,0.0164,"UP in cases"
