"module","case_control","ER","PR","HER2","radiotherapy","grade"
"MEdarkgrey",0.746530341542911,0.644177529563128,0.701551436514034,0.822021522512619,0.624206326235304,0.50767591469933
"MEorangered4",0.890872062975657,0.139154976969755,0.823413583909241,0.915481059042319,0.617100623844988,0.107649574068326
"MElightcyan1",0.988136851567193,0.122831212460168,0.00018195900607354,0.226944275319528,0.746530341542911,0.00388853110918105
"MEblue",0.909531323141714,6.69801518335918e-07,9.32792106448602e-08,0.000255264282404819,0.528459773017755,2.73215661603641e-09
"MEgreen",0.969419104314259,1.17113607434301e-15,2.73215661603641e-09,3.09103203909936e-05,0.608240226266879,0.0170379012365717
"MEskyblue3",0.379996040319875,0.890872062975657,0.19360213858451,0.233171481011696,0.518786228044462,0.0031112943275526
"MEplum1",0.890872062975657,0.988136851567193,0.988136851567193,0.625817759540501,0.242631152920497,0.625817759540501
"MEdarkolivegreen",0.916624293159221,0.0130521844862297,0.000109017585515691,0.0111877943901374,0.292532334318176,7.54871191411807e-06
"MElightgreen",0.850977859642492,0.206730407275306,0.307138057364682,0.988420052947229,0.608822163252957,0.0031112943275526
"MEskyblue",0.551740599983386,0.886185200720613,0.233171481011696,0.850977859642492,0.957644829713234,0.0233295237335558
"MEroyalblue",0.682975880223825,0.328891653526978,0.502014823128068,0.608240226266879,0.83175206362529,0.755381004924444
"MEyellowgreen",0.850977859642492,0.886185200720613,0.551740599983386,0.915481059042319,0.608240226266879,0.258696246245584
"MEcyan",0.59377955374712,0.238246102675412,0.957644829713234,0.988420052947229,0.857372024215001,0.0848163280703815
"MEdarkmagenta",0.0233295237335558,0.494922349177142,0.528459773017755,0.889801760084964,0.886185200720613,0.387493287600383
"MEgrey60",0.68127777247008,0.847003903680442,0.81048827724486,0.822021522512619,0.988420052947229,0.647306934019291
"MEdarkred",0.575144734707738,0.00684160132482903,0.00559181552553108,0.0446948902183743,0.852347799962573,0.000558009727228657
"MEsteelblue",0.886185200720613,0.719850223641171,0.0763707353210083,0.0221621100426849,0.972535570567734,0.00935093828461986
"MEtan",0.721400282700926,0.886185200720613,0.988136851567193,0.676421215294191,0.490221054372112,0.507815057328233
"MEbrown",0.962471899109809,0.746530341542911,0.933092070481078,0.889801760084964,0.608822163252957,0.453305985603357
"MEgreenyellow",0.933092070481078,0.179246936286872,0.0208601333420324,0.179246936286872,0.822021522512619,0.0245215709081811
"MElightsteelblue1",0.493068676913696,0.107880700907917,0.0097000410395381,0.0208601333420324,0.447002356159827,0.00718903626599085
"MEdarkgreen",0.879000617669207,0.608240226266879,0.988136851567193,0.753888413119357,0.822021522512619,0.712515004797365
"MEmagenta",0.59377955374712,0.0807577235454472,0.019151121152253,0.0097000410395381,0.180888686484721,0.0103714293576902
"MEred",0.773474914721657,0.823413583909241,0.692168954429924,0.653766735885869,0.453305985603357,0.352070366590133
"MEmidnightblue",0.822021522512619,0.676421215294191,0.0763707353210083,0.528459773017755,0.886185200720613,0.00935093828461986
"MEfloralwhite",0.755038635344105,0.676421215294191,0.886185200720613,0.608240226266879,0.719850223641171,0.482620625427738
"MEorange",0.988136851567193,0.0612961862255631,0.0689529461889448,0.388668685833701,0.735609069536932,0.00935093828461986
"MEpaleturquoise",0.418334500006579,0.829949705345676,0.999362824144512,0.554591839107901,0.721400282700926,0.608240226266879
"MEsaddlebrown",0.372924130213084,0.175230899883057,0.5908072518994,0.0269426773110734,0.876162988448213,0.951197726042756
"MEsalmon",0.573106165312818,0.224069175505606,0.546937928722971,0.781052345239111,0.847003903680442,0.915481059042319
"MEdarkorange",0.915481059042319,0.0213275041050328,0.0106032667766289,0.119126420206205,0.434883396627096,0.117106902221685
"MEpink",0.988136851567193,0.551740599983386,0.029443797890865,0.719850223641171,0.746530341542911,0.0763707353210083
"MElightyellow",0.544224391891513,0.99050000311883,0.59377955374712,0.847003903680442,0.418334500006579,0.843038763251871
"MEwhite",0.518786228044462,0.0850512192905716,0.0763707353210083,0.915481059042319,0.915481059042319,0.719850223641171
"MEblack",0.418334500006579,8.77453067725065e-06,3.92412932162866e-05,0.000206315396758159,0.0763707353210083,1.64705940678603e-06
"MEpurple",0.604472942017471,0.00853685889010472,0.0037632278760592,0.0763707353210083,0.957644829713234,0.00760413202020411
"MEturquoise",0.608822163252957,2.40633062155647e-10,5.95914761322164e-10,6.20638191567066e-07,0.59377955374712,0.000732444847084601
"MEivory",0.606768410409692,0.608822163252957,0.175230899883057,0.0540338004637044,0.826810285480028,0.00559181552553108
"MElightcyan",0.389256635099529,0.988420052947229,0.886185200720613,0.88303951400665,0.735910748449332,0.850977859642492
"MEmediumpurple3",0.665038763825974,0.41714474531833,0.850977859642492,0.514200406888307,0.995835059579369,0.604472942017471
"MEsienna3",0.379996040319875,0.258696246245584,0.179246936286872,3.14219098781366e-15,0.988136851567193,0.189977988799862
"MEviolet",0.0763707353210083,0.453305985603357,0.181560361566973,0.00151678020580636,0.608240226266879,0.528459773017755
"MEgrey",0.180888686484721,0.988136851567193,0.847003903680442,0.279784886036568,0.904029637454812,0.36574697720615
