"Module","Trait","lm_coef","lm_FDR","bicor_r","bicor_FDR"
"MEgreen","ER",0.178,1.17e-15,0.75,1.67e-16
"MEsienna3","HER2",0.187,3.14e-15,0.732,2.25e-13
"MEturquoise","ER",-0.148,2.41e-10,-0.683,8.29e-13
"MEturquoise","PR",-0.139,5.96e-10,-0.706,9.58e-11
"MEgreen","PR",0.137,2.73e-09,0.682,6.93e-10
"MEblue","grade",-0.09,2.73e-09,-0.616,6.93e-10
"MEblue","PR",0.137,9.33e-08,0.653,7.74e-09
"MEturquoise","HER2",0.125,6.21e-07,0.6,3.76e-08
"MEblue","ER",0.132,6.7e-07,0.574,2.12e-08
"MEblack","grade",0.073,1.65e-06,0.537,2.81e-07
"MEdarkolivegreen","grade",-0.075,7.55e-06,-0.495,4.29e-06
"MEblack","ER",-0.115,8.77e-06,-0.557,6.91e-08
"MEgreen","HER2",-0.113,3.09e-05,-0.544,1.56e-06
"MEblack","PR",-0.103,3.92e-05,-0.555,4.44e-06
"MEdarkolivegreen","PR",0.106,0.000109,0.492,0.000105
"MElightcyan1","PR",0.103,0.000182,0.479,0.000189
"MEblack","HER2",0.104,0.000206,0.514,8.26e-06
"MEblue","HER2",-0.11,0.000255,-0.498,2.03e-05
"MEdarkred","grade",-0.06,0.000558,-0.39,0.000701
"MEturquoise","grade",0.056,0.000732,0.439,9.44e-05
"MEviolet","HER2",0.102,0.00152,0.422,0.000628
"MEskyblue3","grade",-0.055,0.00311,-0.361,0.00231
"MElightgreen","grade",-0.055,0.00311,-0.397,0.000622
"MEpurple","PR",-0.087,0.00376,-0.443,0.000701
"MElightcyan1","grade",-0.053,0.00389,-0.343,0.00389
"MEdarkred","PR",0.085,0.00559,0.397,0.00332
"MEivory","grade",0.051,0.00559,0.323,0.00715
"MEdarkred","ER",0.084,0.00684,0.381,0.00104
"MElightsteelblue1","grade",0.044,0.00719,0.354,0.0029
"MEpurple","grade",0.05,0.0076,0.355,0.00284
"MEpurple","ER",-0.081,0.00854,-0.396,0.000622
"MEsteelblue","grade",-0.049,0.00935,-0.303,0.0128
"MEmidnightblue","grade",0.049,0.00935,0.328,0.00652
"MEorange","grade",0.049,0.00935,0.319,0.00812
"MElightsteelblue1","PR",-0.072,0.0097,-0.33,0.019
"MEmagenta","HER2",0.078,0.0097,0.404,0.00114
"MEmagenta","grade",0.044,0.0104,0.396,0.000622
"MEdarkorange","PR",-0.076,0.0106,-0.371,0.0068
"MEdarkolivegreen","HER2",-0.087,0.0112,-0.339,0.00876
"MEdarkolivegreen","ER",0.079,0.0131,0.303,0.0128
"MEgreen","grade",-0.044,0.017,-0.345,0.00376
"MEmagenta","PR",-0.065,0.0192,-0.392,0.00376
"MEgreenyellow","PR",-0.073,0.0209,-0.457,0.000481
"MElightsteelblue1","HER2",0.066,0.0209,0.299,0.0252
"MEdarkorange","ER",-0.072,0.0213,-0.339,0.00448
"MEsteelblue","HER2",-0.079,0.0222,-0.283,0.0344
"MEdarkmagenta","case_control",0.066,0.0233,0.257,0.0393
"MEskyblue","grade",-0.044,0.0233,-0.271,0.03
"MEgreenyellow","grade",0.042,0.0245,0.268,0.0308
"MEsaddlebrown","HER2",-0.075,0.0269,-0.346,0.00715
"MEpink","PR",-0.068,0.0294,-0.356,0.00956
"MEdarkred","HER2",-0.071,0.0447,-0.298,0.0252
